name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Scuol – Motta Naluns;https://www.bergbahnen-scuol.ch/;{'lat': '46.7964', 'long': '10.2867'};Switzerland;Graubünden;2785.0;1535.0;70.0;12.0;54.0;400.0;6477433777
Furano;https://www.princehotels.com/en/ski/furano/;{'lat': '43.345', 'long': '142.385'};Japan;Hokkaido;1074.0;829.0;32.0;9.0;43.0;900.0;3313310771
Great Northern Snow Cat;https://www.greatnorthernsnowcat.com/;{'lat': '50.8318', 'long': '-117.3739'};Canada;British Columbia;2450.0;1570.0;40.0;4.0;10.0;1000.0;8436636235
Rinderberg/Saanerslochgrat/Horneggli;https://skiwelt-gstaad.ch/winter;{'lat': '46.5061', 'long': '7.3793'};Switzerland;Bern;2011.0;1063.0;89.0;15.0;3.0;300.0;5096280314
Nozawa Onsen;https://nozawaski.com/;{'lat': '36.9221', 'long': '138.4406'};Japan;Nagano Prefecture;1650.0;1085.0;44.5;17.0;44.0;800.0;3024263756
Rifflsee;https://www.pitztaler-gletscher.at;{'lat': '47.0567', 'long': '10.8744'};Austria;Imst;2800.0;1160.0;26.0;6.0;3.0;500.0;8194690779
Stowe;https://www.stowe.com/;{'lat': '44.4742', 'long': '-72.7138'};USA;Vermont;1116.0;726.0;70.0;12.0;34.0;800.0;6444997520
Val Senales Glacier;https://www.schnalstal.com/;{'lat': '46.7589', 'long': '10.7873'};Italy;Trentino-Alto Adige (Trentino-Südtirol);3212.0;1201.0;42.0;11.0;46.0;500.0;5218710954
Speikboden;https://www.skiworldahrntal.it/;{'lat': '46.9327', 'long': '11.8947'};Italy;Trentino-Alto Adige;2400.0;1450.0;41.5;8.0;3.0;400.0;6868804868
Lotte Arai Resort;https://www.lottehotel.com/arai-resort/en.html;{'lat': '36.9491', 'long': '138.1793'};Japan;Niigata Prefecture;1280.0;951.0;16.0;5.0;16.0;1200.0;3196136020
Appi Kogen;https://www.appi.co.jp/;{'lat': '40.0052', 'long': '140.9552'};Japan;Iwate Prefecture;1328.0;828.0;45.0;18.0;36.0;1200.0;9266167430
Kootenay;https://www.cmhheli.com/destinations/kootenay;{'lat': '50.7801', 'long': '-116.0492'};Canada;British Columbia;2880.0;1820.0;100.0;2.0;30.0;800.0;5302129794
Les Contamines;https://www.lescontamines.com/;{'lat': '45.820833', 'long': '6.733056'};France;Auvergne-Rhône-Alpes;2437.0;1273.0;120.0;24.0;30.0;350.0;1995798046
Cerler;https://www.cerler.com/;{'lat': '42.6025', 'long': '0.5319'};Spain;Huesca;2630.0;1130.0;80.0;20.0;53.0;300.0;7945304052
Alpe Cermis;https://www.alpecermis.it;{'lat': '46.2885', 'long': '11.4615'};Italy;Trentino-Alto Adige;2250.0;1390.0;24.0;7.0;50.0;400.0;4039682397
Aomori Spring;https://aomorispring.com/ski;{'lat': '40.6761', 'long': '140.2906'};Japan;Aomori Prefecture;921.0;525.0;20.0;5.0;20.0;1200.0;3589621798
Jakobshorn;https://www.davosklostersmountains.ch/de/mountains/berge/jakobshorn;{'lat': '46.7927', 'long': '9.8215'};Switzerland;Graubünden;2568.0;1033.0;41.2;13.0;30.0;400.0;2052638908
Kicking Horse;https://kickinghorseresort.com/;{'lat': '51.2982', 'long': '-117.0474'};Canada;British Columbia;2450.0;1260.0;100.0;5.0;128.0;700.0;1053528429
Sportgastein;https://www.skigastein.com/de/skigebiet/sportgastein;{'lat': '47.0100', 'long': '13.0073'};Austria;Pongau;2650.0;1065.0;18.0;3.0;3.0;450.0;7628742269
Diedamskopf;https://www.diedamskopf.at/;{'lat': '47.3150', 'long': '10.0190'};Austria;Bregenz;2060.0;1240.0;40.0;9.0;3.0;550.0;8404198970
Großglockner Resort Kals-Matrei;https://www.gg-resort.at/;{'lat': '47.0030', 'long': '12.5528'};Austria;Bezirk Lienz;2426.0;1493.0;40.0;12.0;19.0;300.0;5963877585
Galena;https://www.cmhheli.com/destinations/galena;{'lat': '50.0000', 'long': '-117.0000'};Canada;Alberta;3100.0;2100.0;50.0;2.0;25.0;800.0;5349987697
Meiringen-Hasliberg;https://www.meiringen-hasliberg.ch/;{'lat': '46.7273', 'long': '8.2091'};Switzerland;Bern;2433.0;1368.0;60.0;13.0;49.0;400.0;1525579609
Klausberg;https://www.skiworldahrntal.it/;{'lat': '46.9627', 'long': '11.9377'};Italy;Trentino-Alto Adige;2510.0;1460.0;40.5;11.0;58.0;300.0;8399923223
Paganella;https://www.paganella.net/;{'lat': '46.1629', 'long': '11.0030'};Italy;Trentino-Alto Adige;2125.0;1085.0;40.0;15.0;40.0;400.0;2606148306
Fellhorn/Kanzelwand;https://www.ok-bergbahnen.com/winter/skigebiete/fellhorn-kanzelwand/;{'lat': '47.3810', 'long': '10.2677'};Germany;Oberallgäu;1967.0;1047.0;34.0;14.0;3.0;300.0;1373302298
Formigal;https://www.formigal-panticosa.com/;{'lat': '42.7720', 'long': '-0.3935'};Spain;Huesca;2265.0;764.0;143.0;21.0;39.0;350.0;2015024407
Mt. Baker;https://www.mtbaker.us/;{'lat': '48.8584', 'long': '-121.6659'};USA;Washington;1525.0;455.0;100.0;10.0;3.0;1600.0;4958047225
Kvitfjell;https://www.kvitfjell.no/;{'lat': '61.4547', 'long': '10.1750'};Norway;Innlandet;1032.0;847.0;39.0;14.0;54.0;300.0;6205154403
Espace Lumière – Pra Loup/Val d’Allos;https://www.praloup.com/;{'lat': '44.375550', 'long': '6.625700'};France;Provence-Alpes-Côte d’Azur;2576.0;968.0;180.0;36.0;81.0;400.0;2548259538
Powder Mountain;https://www.powdermountain.com/;{'lat': '41.3784', 'long': '-111.7838'};USA;Utah;2713.0;612.0;68.0;9.0;4.0;750.0;4963895017
Gitschberg Jochtal;https://www.gitschberg-jochtal.com/de/winter/das-skigebiet.html;{'lat': '46.8475', 'long': '11.6647'};Italy;Trentino-Alto Adige;2510.0;1203.0;55.0;15.0;28.0;350.0;5504851650
Civetta;https://skicivetta.com/;{'lat': '46.4000', 'long': '12.1000'};Italy;Venetia (Veneto);2100.0;1100.0;72.0;23.0;30.0;300.0;9139369332
Sunshine Village;https://www.skibanff.com/;{'lat': '51.1153', 'long': '-115.7631'};Canada;Alberta;2730.0;1070.0;109.0;12.0;47.0;900.0;3277535561
Pantheon;https://www.bellacoolaheliskiing.com/de_DE/lodges-2/pantheon-heli-ranch/;{'lat': '52.3614', 'long': '-126.7708'};Canada;British Columbia;2896.0;1982.0;0.0;0.0;0.0;1500.0;1777314706
Buttermilk Mountain;https://www.aspensnowmass.com/;{'lat': '39.1911', 'long': '-106.8175'};USA;Colorado;3018.0;619.0;34.0;5.0;3.0;760.0;2690095184
Crested Butte;https://www.skicb.com/;{'lat': '38.8697', 'long': '-106.9878'};USA;Colorado;3620.0;846.0;121.0;12.0;3.0;700.0;5584782797
Balme/Les Autannes;https://www.montblancnaturalresort.com/fr/domaine-skiable-balme;{'lat': '46.0047', 'long': '6.9545'};France;Haute-Savoie;2250.0;797.0;29.0;13.0;29.0;600.0;3272806558
Mt. Hood Meadows;https://www.skihood.com/;{'lat': '45.3301', 'long': '-121.6627'};USA;Oregon;2225.0;847.0;90.0;12.0;50.0;1200.0;8515862874
Arapahoe Basin;https://www.arapahoebasin.com/;{'lat': '39.642611', 'long': '-105.871186'};USA;Colorado;3790.0;504.0;105.0;9.0;67.0;760.0;4031880825
Grand Targhee;https://www.grandtarghee.com/;{'lat': '43.7878', 'long': '-110.9632'};USA;Wyoming;3048.0;738.0;35.0;6.0;35.0;1270.0;4702061682
Gerlosstein;https://www.zillertalarena.com/de/arena/winter/gerlosstein.html?bl=/de/arena/winter/zillertal_arena-info.html;{'lat': '47.2091', 'long': '11.8678'};Austria;Schwaz;1836.0;907.0;10.0;5.0;10.0;500.0;4570868193
Yellowstone Club;https://yellowstoneclub.com/;{'lat': '45.2511', 'long': '-111.3480'};USA;Montana;3005.0;823.0;80.0;19.0;20.0;762.0;9043457178
Bardonecchia;https://www.bardonecchiaski.com/;{'lat': '45.0783', 'long': '6.7171'};Italy;Piedmont;2800.0;1488.0;100.0;22.0;3.0;400.0;9979620617
Bald Mountain;https://www.sunvalley.com/;{'lat': '43.6956', 'long': '-114.3474'};USA;Idaho;2789.0;1036.0;92.0;12.0;92.0;500.0;5586737265
Saint-Lary-Soulan;https://www.saintlary.com/;{'lat': '42.8167', 'long': '0.3167'};France;Hautes-Pyrénées;2515.0;918.0;105.0;24.0;45.0;300.0;8270349088
Brighton;https://brightonresort.com/;{'lat': '40.5982', 'long': '-111.5843'};USA;Utah;3239.0;572.0;66.0;8.0;46.0;1250.0;2357128357
Villars/Gryon/Les Diablerets;https://www.alpesvaudoises.ch/fr/pages/tvgd;{'lat': '46.295054', 'long': '7.181947'};Switzerland;Canton of Vaud;2120.0;896.0;84.0;25.0;30.0;400.0;3219589383
Bugaboos;https://www.cmhheli.com/our-lodges/bugaboos/;{'lat': '50.7667', 'long': '-116.5667'};Canada;British Columbia;3050.0;2105.0;0.0;2.0;0.0;1200.0;7131489834
Chisenupuri;https://www.skiresort.info/ski-resort/chisenupuri-rankoshi-cho/;{'lat': '42.8597', 'long': '140.5625'};Japan;Hokkaido;832.0;280.0;5.0;2.0;5.0;1200.0;6470807228
Orcières Merlette 1850;https://www.orcieres.com/;{'lat': '44.698', 'long': '6.320'};France;Hautes-Alpes;2725.0;875.0;100.0;28.0;3.0;500.0;7581233312
Hinterstoder;https://skisport.com/HiWu/;{'lat': '47.6997', 'long': '14.1586'};Austria;Steyr-Kirchdorf;2000.0;1400.0;39.9;13.0;25.0;300.0;4958524930
Wildhorse Cat Skiing;https://www.skiresort.info/ski-resort/wildhorse-cat-skiing/;{'lat': '49.4952', 'long': '-117.2948'};Canada;British Columbia;2200.0;800.0;30.0;1.0;12.0;800.0;4131326944
Eggli/La Videmanette;https://www.gstaad.ch/bergbahnen/unsere-berge/eggli-la-videmanette.html;{'lat': '46.4866', 'long': '7.2715'};Switzerland;Bern;2151.0;1159.0;58.0;9.0;3.0;300.0;7626125610
Kaunertal Glacier;https://www.kaunertaler-gletscher.at/;{'lat': '46.9122', 'long': '10.7511'};Austria;Landeck;3113.0;963.0;55.0;7.0;20.0;500.0;5797762722
Latemar;https://www.obereggen.com;{'lat': '46.3714', 'long': '11.5374'};Italy;Trentino-Alto Adige;2388.0;848.0;49.0;18.0;66.0;300.0;2992296722
Le Grand Bornand;https://www.legrandbornand.com/;{'lat': '45.9428', 'long': '6.4274'};France;Haute-Savoie;2100.0;1100.0;90.0;24.0;40.0;500.0;2231730120
Gerlitzen;https://www.gerlitzen.com/;{'lat': '46.6833', 'long': '13.9167'};Austria;Villach;1911.0;911.0;52.0;20.0;57.0;300.0;3354624947
Plose;https://www.plose.org/;{'lat': '46.7234', 'long': '11.7185'};Italy;Trentino-Alto Adige;2505.0;1466.0;42.5;7.0;11.0;300.0;5931040952
Solitude;https://solitudemountain.com/;{'lat': '40.6203', 'long': '-111.5913'};USA;Utah;3059.0;619.0;64.0;9.0;47.0;900.0;3839081868
Moelltal Glacier;https://www.moelltaler-gletscher.at/;{'lat': '46.9736', 'long': '12.9011'};Austria;Spittal an der Drau;3122.0;1014.0;36.0;9.0;19.0;500.0;9839198433
Sulden am Ortler;https://www.seilbahnensulden.it/;{'lat': '46.5269', 'long': '10.5646'};Italy;Trentino-Alto Adige;3250.0;1350.0;44.0;11.0;53.0;400.0;2338343930
Gaustablikk;https://gausta.com/;{'lat': '59.8783', 'long': '8.7194'};Norway;Vestfold og Telemark;1800.0;1098.0;35.0;14.0;35.0;300.0;6784928852
Hafjell;https://www.hafjell.no/;{'lat': '61.2415', 'long': '10.4389'};Norway;Innlandet;1059.0;864.0;50.0;18.0;52.0;250.0;1557195951
Valchiavenna;https://www.skiareavalchiavenna.it/;{'lat': '46.4336', 'long': '9.3501'};Italy;Lombardy;2948.0;1398.0;37.0;10.0;37.0;450.0;5069814744
Powder Mountain;https://powdermountaincatskiing.com/;{'lat': '50.1163', 'long': '-122.9544'};Canada;British Columbia;2100.0;1100.0;30.0;8.0;25.0;1000.0;9505391740
Tauplitz;https://www.dietauplitz.com/;{'lat': '47.5669', 'long': '13.9939'};Austria;Liezen;1965.0;1069.0;43.5;17.0;26.0;400.0;2433781491
Alyeska Resort;https://www.alyeskaresort.com/;{'lat': '60.9706', 'long': '-149.0987'};USA;Alaska;840.0;758.0;62.0;7.0;10.0;1000.0;7363427208
Katschberg;https://www.katschi.at/;{'lat': '47.0497', 'long': '13.6328'};Austria;Spittal an der Drau;2220.0;1154.0;80.0;17.0;51.0;250.0;3695300530
Brauneck;https://www.brauneck-bergbahn.de/winter/;{'lat': '47.67742', 'long': '11.55017'};Germany;Bad Tölz-Wolfratshausen;1712.0;1012.0;31.0;15.0;20.0;300.0;3593458157
Obersaxen/Mundaun;https://www.obersaxen-mundaun.ch/;{'lat': '46.7438', 'long': '9.0936'};Switzerland;Graubünden;2310.0;1109.0;120.0;15.0;21.0;350.0;2058641336
Sahoro;https://sahoro.co.jp/;{'lat': '43.2191', 'long': '142.7864'};Japan;Hokkaido;1030.0;620.0;25.0;8.0;16.0;800.0;4712773542
Madrisa;http://www.madrisa.ch;{'lat': '46.9021', 'long': '9.8482'};Switzerland;Grisons;2602.0;1460.0;22.9;8.0;27.0;300.0;8677200043
Tsugaike Kogen;https://www.tsugaike.gr.jp/;{'lat': '36.7206', 'long': '137.8346'};Japan;Nagano;1704.0;904.0;25.0;18.0;3.0;850.0;6260501004
Krippenstein;https://dachstein-salzkammergut.com/;{'lat': '47.5553', 'long': '13.6888'};Austria;Gmunden;2109.0;1500.0;12.0;7.0;3.0;400.0;8109371674
San Martino di Castrozza;https://www.sanmartino.com/;{'lat': '46.2656', 'long': '11.8093'};Italy;Trentino-Alto Adige;2357.0;953.0;60.0;21.0;56.0;300.0;6837121960
Kreischberg;https://www.kreischberg.at/;{'lat': '47.1111', 'long': '14.0797'};Austria;Murau;2118.0;1250.0;42.5;12.0;65.0;250.0;5309560213
Zugspitze;https://zugspitze.de/;{'lat': '47.4210', 'long': '10.9854'};Germany;Garmisch-Partenkirchen;2720.0;720.0;20.0;10.0;10.0;250.0;6032946509
Norefjell;https://www.norefjell.com/;{'lat': '60.1', 'long': '9.5'};Norway;Viken;1188.0;1008.0;25.0;13.0;25.0;300.0;4438495166
Ylläs;https://www.yllas.fi/;{'lat': '67.5775', 'long': '24.2231'};Finland;Lapin lääni;719.0;464.0;53.0;26.0;30.0;500.0;9274225824
St. Johann in Tirol;https://www.bergbahnen-stjohann.at/;{'lat': '47.51861', 'long': '12.42306'};Austria;Kitzbühel;1604.0;945.0;40.0;10.0;52.0;400.0;8500390566
Bad Kleinkirchheim;https://www.badkleinkirchheim.com/;{'lat': '46.813056', 'long': '13.789167'};Austria;Bezirk Spittal an der Drau;2055.0;968.0;108.0;22.0;94.0;200.0;2958356817
Alpe Lusia;https://www.alpelusia.it/;{'lat': '46.3525', 'long': '11.6164'};Italy;Trentino-Alto Adige;2340.0;973.0;27.0;8.0;20.0;400.0;3025526307
Sugarbush;https://www.sugarbush.com/;{'lat': '44.1351', 'long': '-72.8942'};USA;Vermont;1240.0;788.0;85.0;15.0;85.0;600.0;4595775882
Madarao/Tangram;https://www.madarao.jp/;{'lat': '36.9102', 'long': '138.2989'};Japan;Nagano Prefecture, Niigata Prefecture;1340.0;540.0;34.0;16.0;34.0;1200.0;2934280188
Sugar Bowl;https://www.sugarbowl.com/;{'lat': '39.3041', 'long': '-120.3345'};USA;California;2555.0;457.0;70.0;13.0;35.0;1100.0;5129883252
Hakuba 47/Goryu;https://www.hakuba47.co.jp/;{'lat': '36.693611', 'long': '137.824722'};Japan;Nagano Prefecture;1644.0;876.0;23.0;20.0;22.0;800.0;2315071383
Savognin;https://www.valsurses.ch/de/bergbahnen/savognin-bergbahnen;{'lat': '46.5925', 'long': '9.5698'};Switzerland;Graubünden;2713.0;1545.0;73.0;12.0;51.0;400.0;3816862484
Diavolezza/Lagalb;https://www.corvatsch-diavolezza.ch/;{'lat': '46.4228', 'long': '9.9796'};Switzerland;Graubünden;3006.0;913.0;35.0;5.0;10.0;450.0;5504521850
Pila;https://pila.it/;{'lat': '45.705', 'long': '7.316'};Italy;Aosta Valley;2740.0;1200.0;70.0;12.0;70.0;400.0;7915983348
Carezza;https://carezza.it/;{'lat': '46.40982', 'long': '11.58702'};Italy;Trentino-Alto Adige;2337.0;1155.0;40.0;13.0;22.0;200.0;1771885644
Almenwelt Lofer;https://www.skialm-lofer.com/;{'lat': '47.5858', 'long': '12.6964'};Austria;Zell am See;1670.0;1030.0;46.0;10.0;17.0;400.0;2400754099
Brigels/Waltensburg/Andiast;https://www.brigels-bergbahnen.ch/;{'lat': '46.7681', 'long': '9.0569'};Switzerland;Graubünden;2418.0;1316.0;40.0;10.0;10.0;300.0;3535858931
La Norma;https://www.la-norma.ski/;{'lat': '45.2181', 'long': '6.6979'};France;Savoie;2750.0;1400.0;65.0;13.0;3.0;400.0;6682736655
Golm;https://www.golm.at/;{'lat': '47.0786', 'long': '9.8788'};Austria;Bludenz;2100.0;1450.0;27.0;9.0;26.0;400.0;3992664179
Hochstein;https://www.lienzer-bergbahnen.at/de/skifahren/155-skigebiet-hochstein-lienz-osttirol.html;{'lat': '46.8333', 'long': '12.7667'};Austria;Lienz;1988.0;1320.0;12.0;4.0;3.0;250.0;5294435232
June Mountain;https://www.junemountain.com/;{'lat': '37.7592', 'long': '-119.0903'};USA;California;3075.0;787.0;41.0;7.0;3.0;750.0;3012704241
Sun Peaks;https://www.sunpeaksresort.com/;{'lat': '50.8847', 'long': '-119.8854'};Canada;British Columbia;2082.0;884.0;135.0;12.0;51.0;550.0;7345756908
Grosseck/Speiereck;https://www.grosseck-speiereck.at/;{'lat': '47.1413', 'long': '13.6835'};Austria;Tamsweg;2400.0;1305.0;50.0;10.0;9.0;300.0;5800232885
Grüsch Danusa;https://www.gruesch-danusa.ch/;{'lat': '46.9713', 'long': '9.6398'};Switzerland;Graubünden;1800.0;1200.0;34.0;6.0;5.0;400.0;7177239249
Big White;https://www.bigwhite.com;{'lat': '49.7215', 'long': '-118.9274'};Canada;British Columbia;2285.0;777.0;105.0;12.0;84.0;750.0;8311919507
Diamond Peak;https://www.diamondpeak.com/;{'lat': '39.2497', 'long': '-119.9288'};USA;Nevada;2602.0;560.0;16.3;7.0;16.0;914.0;5287164399
Idre Fjäll;https://www.idrefjall.se/;{'lat': '61.8583', 'long': '12.7183'};Sweden;Dalarna;890.0;302.0;41.0;24.0;54.0;180.0;7621260697
Geilo;https://www.skigeilo.no/;{'lat': '60.5336', 'long': '8.2055'};Norway;Viken;1178.0;399.0;34.0;20.0;34.0;300.0;3079558186
Catinaccio/Ciampedie;http://www.catinacciodolomiti.it;{'lat': '46.4233', 'long': '11.6683'};Italy;Trentino-Alto Adige;2095.0;773.0;13.5;6.0;3.0;400.0;1925408220
Panorama;https://www.panoramaresort.com/;{'lat': '50.4606', 'long': '-116.2375'};Canada;British Columbia;2365.0;1215.0;112.0;10.0;39.0;500.0;5413820230
Les 7 Laux;https://www.les7laux.com/;{'lat': '45.2862', 'long': '5.9728'};France;Isère;2400.0;1050.0;120.0;22.0;84.0;400.0;5456575385
Muikamachi Hakkaisan;https://www.princehotels.com/en/ski/hakkaisan/;{'lat': '37.0713', 'long': '138.982'};Japan;Niigata Prefecture;1147.0;792.0;12.0;4.0;12.0;1200.0;6000689928
Lermoos – Grubigstein;https://www.bergbahnen-langes.at/;{'lat': '47.3986', 'long': '10.8783'};Austria;Reutte;2100.0;1096.0;26.5;8.0;3.0;300.0;1035495524
Hochzeiger;https://www.pitztal.com/de/hochzeiger-im-winter;{'lat': '47.1757', 'long': '10.7331'};Austria;Imst;2488.0;1038.0;40.0;9.0;3.0;400.0;6254339158
Hemavan;https://hemavan.nu/;{'lat': '65.8142', 'long': '15.0850'};Sweden;Västerbotten;1135.0;665.0;30.0;10.0;30.0;400.0;7378553169
Wispile;https://www.gstaad.ch/bergbahnen/unsere-berge/wispile.html;{'lat': '46.4645', 'long': '7.2883'};Switzerland;Bern;1939.0;896.0;8.9;5.0;6.0;400.0;9453358614
Anzère;https://www.anzere.ch/;{'lat': '46.296810', 'long': '7.405612'};Switzerland;Valais;2420.0;904.0;58.0;13.0;3.0;350.0;9467119721
Rauriser Hochalmbahnen;https://www.hochalmbahnen.at/;{'lat': '47.2257', 'long': '12.9920'};Austria;Zell am See;2175.0;1225.0;32.0;10.0;3.0;450.0;2903270267
Mt. Rose;https://skirose.com/;{'lat': '39.3241', 'long': '-119.8848'};USA;Nevada;2957.0;550.0;60.0;8.0;60.0;900.0;1482190852
Les Orres;https://www.lesorres.com/;{'lat': '44.4990', 'long': '6.5627'};France;Hautes-Alpes;2720.0;1170.0;100.0;17.0;3.0;350.0;4966130565
Steinplatte-Winklmoosalm;https://www.steinplatte.tirol/;{'lat': '47.63', 'long': '12.57'};Austria;Kitzbühel District;1860.0;1120.0;42.0;14.0;3.0;250.0;2008045948
Hakkoda;http://www.hakkoda-ropeway.jp/;{'lat': '40.651032', 'long': '140.853180'};Japan;Aomori Prefecture;1324.0;666.0;10.0;3.0;3.0;1400.0;2066753478
Loveland;https://skiloveland.com/;{'lat': '39.6803', 'long': '-105.8974'};USA;Colorado;3871.0;626.0;93.0;10.0;9.0;760.0;6784050624
Red Mountain Resort;https://www.redresort.com/;{'lat': '49.1039', 'long': '-117.7990'};Canada;British Columbia;2075.0;890.0;120.0;8.0;49.0;700.0;4692906986
Schlick 2000;https://www.stubai.at/skigebiete/schlick2000/;{'lat': '47.1408', 'long': '11.3463'};Austria;Innsbruck-Land;2240.0;1231.0;25.0;9.0;3.0;400.0;7212698394
Sonnenkopf;http://www.sonnenkopf.com;{'lat': '47.1375', 'long': '10.0794'};Austria;Bludenz;2300.0;1300.0;29.0;9.0;3.0;300.0;3582482022
Ax 3 Domaines;https://www.ax.ski/;{'lat': '42.718', 'long': '1.841'};France;Occitania;2346.0;966.0;80.0;19.0;20.0;400.0;3523648728
Alto Sangro;https://roccaraso.net/;{'lat': '41.8428', 'long': '14.0792'};Italy;Abruzzo;2141.0;832.0;90.5;24.0;3.0;300.0;9696105651
Leysin;https://www.alpesvaudoises.ch/fr/pages/tlml;{'lat': '46.35434', 'long': '7.00165'};Switzerland;Waadt;2198.0;948.0;60.0;12.0;31.0;400.0;4940616048
Pejo 3000;https://www.skipejo.it/;{'lat': '46.3421', 'long': '10.6466'};Italy;Trentino-Alto Adige;3000.0;1600.0;20.0;7.0;8.0;300.0;4277132017
Rosskopf;https://www.rosskopf.com/;{'lat': '46.8991', 'long': '11.4339'};Italy;Trentino-Alto Adige/Südtirol;2120.0;1172.0;20.0;3.0;3.0;400.0;5247525884
Leukerbad;https://leukerbad.ch/;{'lat': '46.3773', 'long': '7.6307'};Switzerland;Valais;2610.0;1199.0;47.0;13.0;3.0;300.0;6909540809
Walmendingerhorn-Heuberg;https://www.ok-bergbahnen.com/winter/skigebiete/walmendingerhorn-ifen-heuberg/;{'lat': '47.3200', 'long': '10.1650'};Austria;Bregenz;1946.0;876.0;34.0;13.0;15.0;291.0;2466885990
Dachstein West;https://www.dachstein.at/;{'lat': '47.5385', 'long': '13.4999'};Austria;Tennengau;1617.0;872.0;51.0;22.0;42.0;250.0;9382908517
Sudelfeld;https://www.sudelfeld.de/;{'lat': '47.6750', 'long': '11.9394'};Germany;Miesbach;1563.0;713.0;31.0;13.0;23.0;300.0;5187843596
Goldeck;https://sportberg-goldeck.com/;{'lat': '46.7986', 'long': '13.4820'};Austria;Spittal an der Drau;2142.0;1595.0;25.0;6.0;3.0;300.0;3815732634
Voss Resort;https://www.vossresort.no/;{'lat': '60.6308', 'long': '6.4204'};Norway;Vestland;964.0;680.0;45.0;11.0;35.0;400.0;9759130132
Puy-Saint-Vincent;https://www.paysdesecrins.com/nos-stations/puy-saint-vincent;{'lat': '44.8211', 'long': '6.4964'};France;Hautes-Alpes;2677.0;1270.0;75.0;11.0;17.0;400.0;4399454441
Strandafjellet;https://www.strandafjellet.no/;{'lat': '62.3090', 'long': '6.9850'};Norway;Møre og Romsdal;1230.0;800.0;25.0;6.0;25.0;500.0;8336465067
Grächen;https://www.graechen.ch/;{'lat': '46.1971', 'long': '7.8370'};Switzerland;Valais;2864.0;1245.0;44.0;11.0;34.0;300.0;8597679709
Hochoetz;https://www.oetz.com/;{'lat': '47.2023', 'long': '10.8999'};Austria;Imst;2272.0;862.0;37.5;15.0;15.0;500.0;9066220649
Rinerhorn;https://www.davosklostersmountains.ch/de/mountains/berge/rinerhorn;{'lat': '46.7722', 'long': '9.7971'};Switzerland;Graubünden;2490.0;1031.0;51.0;7.0;10.0;400.0;1589279574
Apa Resort – Myoko Pine Valley;https://www.apahotel.com/ja_ja/myoko/?hotel_id=32726;{'lat': '36.9380', 'long': '138.2236'};Japan;Niigata Prefecture;945.0;365.0;10.0;4.0;8.0;800.0;1536468952
Snow Space Salzburg;https://www.snow-space.com/;{'lat': '47.3500', 'long': '13.4000'};Austria;Pongau;1980.0;1240.0;120.0;45.0;61.0;300.0;1447164152
